folder_path,shuffles_missing,model_size
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale1.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale0.9,17,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale0.0,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-1.0,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale1.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale2.0,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale1.8,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale0.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-2.0,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale1.6,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale1.5,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-1.6,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale0.1,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale1.7,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale2.0,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale0.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale1.2,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-0.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-1.8,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.4,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.9,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.7,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.7,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.7,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.8,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.3,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.4,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.0,16,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.8,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.3,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.8,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.6,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.3,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.1,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.1,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.3,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.6,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-2.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-2.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.2,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.4,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.0,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.5,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale2.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.3,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.6,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.4,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.5,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.2,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.9,16,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.6,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.7,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.5,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.7,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.6,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-1.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.9,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.9,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-1.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.9,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale2.0,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.4,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-2.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.5,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.6,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale-0.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.1,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale1.7,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale2.0,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/alphanumeric_scale0.9,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale1.2,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale-0.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale-1.8,20,32B
